Summary	Description	Epic Name	Epic Link	Requirements	Status
Reminder Creation & Management	CRUD for reminders; choose trigger type; notification actions; local persistence.	REM-CORE			In Progress
Location Tracking & Geofencing	Geofence entry/exit handling, debounce, dwell time, accuracy tuning.	GEOFENCE			Passed
Weather Forecast & Rules	Weather API integration, rule evaluator, caching, offline handling.	WX-RULES			Not Started
App Infrastructure	Local DB, background workers, CI, crash logging.	APP-INFRA			Passed
Polish & Docs	Permission flows, settings, docs, release notes.	POLISH			In Progress
Create Reminder UI (title, notes, trigger type)	Compose/Flutter screen; validation; empty states.		REM-CORE	Functional	Passed
Persist Reminder to local DB (Room/sqflite)	Entities, DAO, repository pattern; migrations.		REM-CORE	Non-Functional	Passed
Reminder Notification with actions (Snooze, Done)	System notification channel; action intents; UX copy.		REM-CORE	Functional	Passed
Map picker & radius selection	Map view; draggable pin; radius ring; default 150m.		GEOFENCE	Functional	Passed
Register geofence and handle enter/exit callbacks	Fused Location Provider + Geofencing API; broadcast receiver.		GEOFENCE	Non-Functional	Passed
Debounce and dwell time logic	Avoid duplicate triggers; configurable dwell (e.g., 2 min).		GEOFENCE	Non-Functional	Passed
Integrate Open-Meteo API (free)	HTTP client; hourly forecast; model mapping; caching.		WX-RULES	Non-Functional	Not Started
Implement weather rule evaluator (pure function)	Rain chance ≥ X% within Y hours; temp/wind thresholds.		WX-RULES	Functional	Not Started
Background worker to evaluate weather rules	WorkManager/Isolate; interval control; backoff; offline behavior.		WX-RULES	Non-Functional	Not Started
Set up CI (lint + unit tests)	GitHub Actions; cache; badges in README.		APP-INFRA	Non-Functional	Passed
Crash logging & analytics	Firebase Crashlytics; privacy note in README.		APP-INFRA	Non-Functional	In Progress
Permission rationale flows (foreground + background location)	Explainer screens; deep links to settings; rejection paths.		POLISH	Non-Functional	In Progress
Settings: units, polling interval, default radius	Preference store; UI toggles; validation.		POLISH	Non-Functional	Not Started
README + Confluence pages (Architecture, Test Plan, Release Notes)	Concise setup; diagrams; test matrix.		POLISH		In Progress
